date,dam,level_m,capacity_m3,api_date,level_raw,capacity_raw
2026-01-01,Capaccio,137.51,387204,01/01/2026,"137,51",387.204
2026-01-01,Capacciotti,168.65,6508900,01/01/2026,"168,65",6.508.900
2026-01-01,Occhito,176.04,46201720,01/01/2026,"176,04",46.201.720
2026-01-01,Osento,436.35,1284000,01/01/2026,"436,35",1.284.000
2026-01-02,Capaccio,137.51,387204,02/01/2026,"137,51",387.204
2026-01-02,Capacciotti,168.65,6508900,02/01/2026,"168,65",6.508.900
2026-01-02,Occhito,176.02,46041360,02/01/2026,"176,02",46.041.360
2026-01-02,Osento,436.35,1284000,02/01/2026,"436,35",1.284.000
2026-01-03,Capaccio,137.49,368316,03/01/2026,"137,49",368.316
2026-01-03,Capacciotti,168.65,6508900,03/01/2026,"168,65",6.508.900
2026-01-03,Occhito,176.0,45881000,03/01/2026,"176,00",45.881.000
2026-01-03,Osento,436.35,1284000,03/01/2026,"436,35",1.284.000
2026-01-04,Capaccio,137.5,377760,04/01/2026,"137,50",377.760
2026-01-04,Capacciotti,168.7,6555800,04/01/2026,"168,70",6.555.800
2026-01-04,Occhito,176.04,46201720,04/01/2026,"176,04",46.201.720
2026-01-04,Osento,436.4,1296000,04/01/2026,"436,40",1.296.000
2026-01-05,Capaccio,137.5,377760,05/01/2026,"137,50",377.760
2026-01-05,Capacciotti,168.7,6555800,05/01/2026,"168,70",6.555.800
2026-01-05,Occhito,176.12,46843160,05/01/2026,"176,12",46.843.160
2026-01-05,Osento,436.4,1296000,05/01/2026,"436,40",1.296.000
2026-01-06,Capaccio,137.5,377760,06/01/2026,"137,50",377.760
2026-01-06,Capacciotti,168.7,6555800,06/01/2026,"168,70",6.555.800
2026-01-06,Occhito,176.27,48045860,06/01/2026,"176,27",48.045.860
2026-01-06,Osento,436.4,1296000,06/01/2026,"436,40",1.296.000
2026-01-07,Capaccio,137.55,424980,07/01/2026,"137,55",424.980
2026-01-07,Capacciotti,168.7,6555800,07/01/2026,"168,70",6.555.800
2026-01-07,Occhito,176.45,49489100,07/01/2026,"176,45",49.489.100
2026-01-07,Osento,436.45,1308000,07/01/2026,"436,45",1.308.000
2026-01-08,Capaccio,137.69,557196,08/01/2026,"137,69",557.196
2026-01-08,Capacciotti,168.9,6743400,08/01/2026,"168,90",6.743.400
2026-01-08,Occhito,176.63,50932340,08/01/2026,"176,63",50.932.340
2026-01-08,Osento,436.5,1320000,08/01/2026,"436,50",1.320.000
2026-01-09,Capaccio,137.74,604416,09/01/2026,"137,74",604.416
2026-01-09,Capacciotti,169.3,7118800,09/01/2026,"169,30",7.118.800
2026-01-09,Occhito,176.72,51653960,09/01/2026,"176,72",51.653.960
2026-01-09,Osento,436.55,1333000,09/01/2026,"436,55",1.333.000
2026-01-10,Capaccio,137.77,632748,10/01/2026,"137,77",632.748
2026-01-10,Capacciotti,169.6,7400200,10/01/2026,"169,60",7.400.200
2026-01-10,Occhito,176.8,52295400,10/01/2026,"176,80",52.295.400
2026-01-10,Osento,436.65,1359000,10/01/2026,"436,65",1.359.000
2026-01-11,Capaccio,137.83,689412,11/01/2026,"137,83",689.412
2026-01-11,Capacciotti,170.05,7829900,11/01/2026,"170,05",7.829.900
2026-01-11,Occhito,176.91,53177380,11/01/2026,"176,91",53.177.380
2026-01-11,Osento,436.75,1385000,11/01/2026,"436,75",1.385.000
2026-01-12,Capaccio,137.86,717744,12/01/2026,"137,86",717.744
2026-01-12,Capacciotti,170.4,8209300,12/01/2026,"170,40",8.209.300
2026-01-12,Occhito,176.98,53738640,12/01/2026,"176,98",53.738.640
2026-01-12,Osento,436.85,1411000,12/01/2026,"436,85",1.411.000
2026-01-13,Capaccio,137.88,736632,13/01/2026,"137,88",736.632
2026-01-13,Capacciotti,170.75,8588700,13/01/2026,"170,75",8.588.700
2026-01-13,Occhito,177.02,54059360,13/01/2026,"177,02",54.059.360
2026-01-13,Osento,437.05,1461000,13/01/2026,"437,05",1.461.000
2026-01-14,Capaccio,137.9,755520,14/01/2026,"137,90",755.520
2026-01-14,Capacciotti,170.95,8805500,14/01/2026,"170,95",8.805.500
2026-01-14,Occhito,177.05,54299900,14/01/2026,"177,05",54.299.900
2026-01-14,Osento,437.25,1505000,14/01/2026,"437,25",1.505.000
2026-01-15,Capaccio,137.9,755520,15/01/2026,"137,90",755.520
2026-01-15,Capacciotti,171.1,8968200,15/01/2026,"171,10",8.968.200
2026-01-15,Occhito,177.07,54460260,15/01/2026,"177,07",54.460.260
2026-01-15,Osento,437.3,1516000,15/01/2026,"437,30",1.516.000
2026-01-16,Capaccio,137.92,774408,16/01/2026,"137,92",774.408
2026-01-16,Capacciotti,171.15,9022400,16/01/2026,"171,15",9.022.400
2026-01-16,Occhito,177.09,54620620,16/01/2026,"177,09",54.620.620
2026-01-16,Osento,437.35,1527000,16/01/2026,"437,35",1.527.000
2026-01-17,Capaccio,137.93,783852,17/01/2026,"137,93",783.852
2026-01-17,Capacciotti,171.2,9076600,17/01/2026,"171,20",9.076.600
2026-01-17,Occhito,177.1,54700800,17/01/2026,"177,10",54.700.800
2026-01-17,Osento,437.4,1538000,17/01/2026,"437,40",1.538.000
2026-01-18,Capaccio,137.94,793296,18/01/2026,"137,94",793.296
2026-01-18,Capacciotti,171.25,9130800,18/01/2026,"171,25",9.130.800
2026-01-18,Occhito,177.11,54780980,18/01/2026,"177,11",54.780.980
2026-01-18,Osento,437.45,1549000,18/01/2026,"437,45",1.549.000
2026-01-19,Capaccio,137.94,793296,19/01/2026,"137,94",793.296
2026-01-19,Capacciotti,171.3,9185000,19/01/2026,"171,30",9.185.000
2026-01-19,Occhito,177.12,54861160,19/01/2026,"177,12",54.861.160
2026-01-19,Osento,437.45,1549000,19/01/2026,"437,45",1.549.000
2026-01-20,Capaccio,137.95,802740,20/01/2026,"137,95",802.740
2026-01-20,Capacciotti,171.35,9239200,20/01/2026,"171,35",9.239.200
2026-01-20,Occhito,177.13,54941340,20/01/2026,"177,13",54.941.340
2026-01-20,Osento,437.55,1574000,20/01/2026,"437,55",1.574.000
2026-01-21,Capaccio,137.97,821628,21/01/2026,"137,97",821.628
2026-01-21,Capacciotti,171.45,9347600,21/01/2026,"171,45",9.347.600
2026-01-21,Occhito,177.15,55101700,21/01/2026,"177,15",55.101.700
2026-01-21,Osento,437.7,1616000,21/01/2026,"437,70",1.616.000
2026-01-22,Capaccio,138.02,870000,22/01/2026,"138,02",870.000
2026-01-22,Capacciotti,171.65,9564400,22/01/2026,"171,65",9.564.400
2026-01-22,Occhito,177.19,55422420,22/01/2026,"177,19",55.422.420
2026-01-22,Osento,438.0,1700000,22/01/2026,"438,00",1.700.000
2026-01-23,Capaccio,138.22,1070000,23/01/2026,"138,22",1.070.000
2026-01-23,Capacciotti,172.0,9943900,23/01/2026,"172,00",9.943.900
2026-01-23,Occhito,177.31,56384580,23/01/2026,"177,31",56.384.580
2026-01-23,Osento,438.5,1830000,23/01/2026,"438,50",1.830.000
2026-01-24,Capaccio,138.3,1150000,24/01/2026,"138,30",1.150.000
2026-01-24,Capacciotti,172.2,10193500,24/01/2026,"172,20",10.193.500
2026-01-24,Occhito,177.36,56785480,24/01/2026,"177,36",56.785.480
2026-01-24,Osento,438.7,1890000,24/01/2026,"438,70",1.890.000
2026-01-25,Capaccio,138.36,1210000,25/01/2026,"138,36",1.210.000
2026-01-25,Capacciotti,172.45,10505500,25/01/2026,"172,45",10.505.500
2026-01-25,Occhito,177.45,57507100,25/01/2026,"177,45",57.507.100
2026-01-25,Osento,438.8,1920000,25/01/2026,"438,80",1.920.000
2026-01-26,Capaccio,138.48,1330000,26/01/2026,"138,48",1.330.000
2026-01-26,Capacciotti,172.65,10755100,26/01/2026,"172,65",10.755.100
2026-01-26,Occhito,177.77,60072860,26/01/2026,"177,77",60.072.860
2026-01-26,Osento,439.1,2010000,26/01/2026,"439,10",2.010.000
2026-01-27,Capaccio,138.6,1450000,27/01/2026,"138,60",1.450.000
2026-01-27,Capacciotti,173.05,11254200,27/01/2026,"173,05",11.254.200
2026-01-27,Occhito,177.94,61435920,27/01/2026,"177,94",61.435.920
2026-01-27,Osento,439.3,2070000,27/01/2026,"439,30",2.070.000
2026-01-28,Capaccio,138.65,1500000,28/01/2026,"138,65",1.500.000
2026-01-28,Capacciotti,173.35,11628600,28/01/2026,"173,35",11.628.600
2026-01-28,Occhito,178.02,62077360,28/01/2026,"178,02",62.077.360
2026-01-28,Osento,439.4,2100000,28/01/2026,"439,40",2.100.000
2026-01-29,Capaccio,138.71,1560000,29/01/2026,"138,71",1.560.000
2026-01-29,Capacciotti,173.6,11940600,29/01/2026,"173,60",11.940.600
2026-01-29,Occhito,178.18,63360240,29/01/2026,"178,18",63.360.240
2026-01-29,Osento,439.55,2147000,29/01/2026,"439,55",2.147.000
2026-01-30,Capaccio,138.81,1660000,30/01/2026,"138,81",1.660.000
2026-01-30,Capacciotti,174.05,12508800,30/01/2026,"174,05",12.508.800
2026-01-30,Occhito,178.35,64723300,30/01/2026,"178,35",64.723.300
2026-01-30,Osento,439.85,2249000,30/01/2026,"439,85",2.249.000
2026-01-31,Capaccio,138.88,1730000,31/01/2026,"138,88",1.730.000
2026-01-31,Capacciotti,174.35,12923400,31/01/2026,"174,35",12.923.400
2026-01-31,Occhito,178.44,65444920,31/01/2026,"178,44",65.444.920
2026-01-31,Osento,440.0,2300000,31/01/2026,"440,00",2.300.000
2026-02-01,Capaccio,138.96,1810000,01/02/2026,"138,96",1.810.000
2026-02-01,Capacciotti,174.7,13407100,01/02/2026,"174,70",13.407.100
2026-02-01,Occhito,178.5,65926000,01/02/2026,"178,50",65.926.000
2026-02-01,Osento,440.15,2339000,01/02/2026,"440,15",2.339.000
2026-02-02,Capaccio,139.15,2022500,02/02/2026,"139,15",2.022.500
2026-02-02,Capacciotti,175.0,13822400,02/02/2026,"175,00",13.822.400
2026-02-02,Occhito,178.6,66727800,02/02/2026,"178,60",66.727.800
2026-02-02,Osento,440.3,2378000,02/02/2026,"440,30",2.378.000
2026-02-03,Capaccio,139.24,2126000,03/02/2026,"139,24",2.126.000
2026-02-03,Capacciotti,175.35,14306100,03/02/2026,"175,35",14.306.100
2026-02-03,Occhito,178.65,67128700,03/02/2026,"178,65",67.128.700
2026-02-03,Osento,440.45,2417000,03/02/2026,"440,45",2.417.000
2026-02-04,Capaccio,139.3,2195000,04/02/2026,"139,30",2.195.000
2026-02-04,Capacciotti,175.5,14513400,04/02/2026,"175,50",14.513.400
2026-02-04,Occhito,178.69,67449420,04/02/2026,"178,69",67.449.420
2026-02-04,Osento,440.55,2452000,04/02/2026,"440,55",2.452.000
2026-02-05,Capaccio,139.35,2252500,05/02/2026,"139,35",2.252.500
2026-02-05,Capacciotti,175.65,14720700,05/02/2026,"175,65",14.720.700
2026-02-05,Occhito,178.78,68171040,05/02/2026,"178,78",68.171.040
2026-02-05,Osento,440.65,2496000,05/02/2026,"440,65",2.496.000
2026-02-06,Capaccio,139.46,2379000,06/02/2026,"139,46",2.379.000
2026-02-06,Capacciotti,176.0,15205200,06/02/2026,"176,00",15.205.200
2026-02-06,Occhito,178.9,69133200,06/02/2026,"178,90",69.133.200
2026-02-06,Osento,440.8,2562000,06/02/2026,"440,80",2.562.000
2026-02-07,Capaccio,139.56,2494000,07/02/2026,"139,56",2.494.000
2026-02-07,Capacciotti,176.25,15590700,07/02/2026,"176,25",15.590.700
2026-02-07,Occhito,179.21,71618780,07/02/2026,"179,21",71.618.780
2026-02-07,Osento,440.9,2606000,07/02/2026,"440,90",2.606.000
2026-02-08,Capaccio,139.64,2586000,08/02/2026,"139,64",2.586.000
2026-02-08,Capacciotti,176.45,15899100,08/02/2026,"176,45",15.899.100
2026-02-08,Occhito,179.3,72340400,08/02/2026,"179,30",72.340.400
2026-02-08,Osento,441.0,2650000,08/02/2026,"441,00",2.650.000
2026-02-09,Capaccio,139.7,2655000,09/02/2026,"139,70",2.655.000
2026-02-09,Capacciotti,176.75,16361700,09/02/2026,"176,75",16.361.700
2026-02-09,Occhito,179.37,72901660,09/02/2026,"179,37",72.901.660
2026-02-09,Osento,441.25,2720000,09/02/2026,"441,25",2.720.000
2026-02-10,Capaccio,139.75,2712500,10/02/2026,"139,75",2.712.500
2026-02-10,Capacciotti,177.05,16823900,10/02/2026,"177,05",16.823.900
2026-02-10,Occhito,179.42,73302560,10/02/2026,"179,42",73.302.560
2026-02-10,Osento,441.35,2748000,10/02/2026,"441,35",2.748.000
2026-02-11,Capaccio,139.79,2758500,11/02/2026,"139,79",2.758.500
2026-02-11,Capacciotti,177.25,17132300,11/02/2026,"177,25",17.132.300
2026-02-11,Occhito,179.47,73703460,11/02/2026,"179,47",73.703.460
2026-02-11,Osento,441.45,2776000,11/02/2026,"441,45",2.776.000
2026-02-12,Capaccio,139.84,2816000,12/02/2026,"139,84",2.816.000
2026-02-12,Capacciotti,177.45,17440700,12/02/2026,"177,45",17.440.700
2026-02-12,Occhito,179.53,74184540,12/02/2026,"179,53",74.184.540
2026-02-12,Osento,441.8,2922000,12/02/2026,"441,80",2.922.000
2026-02-13,Capaccio,139.94,2931000,13/02/2026,"139,94",2.931.000
2026-02-13,Capacciotti,177.7,17826200,13/02/2026,"177,70",17.826.200
2026-02-13,Occhito,179.74,75868320,13/02/2026,"179,74",75.868.320
