date,dam,level_m,capacity_m3,level_raw,capacity_raw
2018-01-01,Capaccio,140.63,3945000,"140,63",3.945.000
2018-01-01,Capacciotti,171.15,9022400,"171,15",9.022.400
2018-01-01,Occhito,179.38,72981840,"179,38",72.981.840
2018-01-01,Osento,438.0,1700000,"438,00",1.700.000
2018-01-02,Capaccio,140.66,3990000,"140,66",3.990.000
2018-01-02,Capacciotti,171.3,9185000,"171,30",9.185.000
2018-01-02,Occhito,179.44,73462920,"179,44",73.462.920
2018-01-02,Osento,438.0,1700000,"438,00",1.700.000
2018-01-03,Capaccio,140.7,4050000,"140,70",4.050.000
2018-01-03,Capacciotti,171.3,9185000,"171,30",9.185.000
2018-01-03,Occhito,179.48,73783640,"179,48",73.783.640
2018-01-03,Osento,438.1,1726000,"438,10",1.726.000
2018-01-04,Capaccio,140.72,4080000,"140,72",4.080.000
2018-01-04,Capacciotti,171.5,9401800,"171,50",9.401.800
2018-01-04,Occhito,179.54,74264720,"179,54",74.264.720
2018-01-04,Osento,438.1,1726000,"438,10",1.726.000
2018-01-05,Capaccio,140.73,4095000,"140,73",4.095.000
2018-01-05,Capacciotti,171.65,9564400,"171,65",9.564.400
2018-01-05,Occhito,179.56,74425080,"179,56",74.425.080
2018-01-05,Osento,438.1,1726000,"438,10",1.726.000
2018-01-06,Capaccio,140.74,4110000,"140,74",4.110.000
2018-01-06,Capacciotti,171.8,9727000,"171,80",9.727.000
2018-01-06,Occhito,179.59,74665620,"179,59",74.665.620
2018-01-06,Osento,438.1,1726000,"438,10",1.726.000
2018-01-07,Capaccio,140.75,4125000,"140,75",4.125.000
2018-01-07,Capacciotti,171.95,9889600,"171,95",9.889.600
2018-01-07,Occhito,179.61,74825980,"179,61",74.825.980
2018-01-07,Osento,438.1,1726000,"438,10",1.726.000
2018-01-08,Capaccio,140.76,4140000,"140,76",4.140.000
2018-01-08,Capacciotti,172.2,10193500,"172,20",10.193.500
2018-01-08,Occhito,179.62,74906160,"179,62",74.906.160
2018-01-08,Osento,438.1,1726000,"438,10",1.726.000
2018-01-09,Capaccio,140.77,4155000,"140,77",4.155.000
2018-01-09,Capacciotti,178.25,18721900,"178,25",18.721.900
2018-01-09,Occhito,179.62,74906160,"179,62",74.906.160
2018-01-09,Osento,438.1,1726000,"438,10",1.726.000
2018-01-10,Capaccio,140.78,4170000,"140,78",4.170.000
2018-01-10,Capacciotti,172.25,10255900,"172,25",10.255.900
2018-01-10,Occhito,179.64,75066520,"179,64",75.066.520
2018-01-10,Osento,438.15,1739000,"438,15",1.739.000
2018-01-11,Capaccio,140.82,4230000,"140,82",4.230.000
2018-01-11,Capacciotti,172.3,10318300,"172,30",10.318.300
2018-01-11,Occhito,179.66,75226880,"179,66",75.226.880
2018-01-11,Osento,438.15,1739000,"438,15",1.739.000
2018-01-12,Capaccio,140.84,4260000,"140,84",4.260.000
2018-01-12,Capacciotti,172.65,10755100,"172,65",10.755.100
2018-01-12,Occhito,179.68,75387240,"179,68",75.387.240
2018-01-12,Osento,438.2,1752000,"438,20",1.752.000
2018-01-13,Capaccio,141.05,4580000,"141,05",4.580.000
2018-01-13,Capacciotti,172.9,11067100,"172,90",11.067.100
2018-01-13,Occhito,179.75,75948500,"179,75",75.948.500
2018-01-13,Osento,438.3,1778000,"438,30",1.778.000
2018-01-14,Capaccio,141.17,4772000,"141,17",4.772.000
2018-01-14,Capacciotti,173.1,11316600,"173,10",11.316.600
2018-01-14,Occhito,179.82,76509760,"179,82",76.509.760
2018-01-14,Osento,438.4,1804000,"438,40",1.804.000
2018-01-15,Capaccio,141.22,4852000,"141,22",4.852.000
2018-01-15,Capacciotti,173.35,11628600,"173,35",11.628.600
2018-01-15,Occhito,179.83,76589940,"179,83",76.589.940
2018-01-15,Osento,438.45,1817000,"438,45",1.817.000
2018-01-16,Capaccio,141.26,4916000,"141,26",4.916.000
2018-01-16,Capacciotti,178.55,19242100,"178,55",19.242.100
