date,dam,precipitation_mm
2019-01-01,Occhito,0.8
2019-01-02,Occhito,7.2
2019-01-03,Occhito,5.8
2019-01-04,Occhito,13.5
2019-01-05,Occhito,3.8
2019-01-06,Occhito,2.9
2019-01-07,Occhito,3.4
2019-01-08,Occhito,0.3
2019-01-09,Occhito,6.1
2019-01-10,Occhito,2.9
2019-01-11,Occhito,3.3
2019-01-12,Occhito,0.1
2019-01-13,Occhito,0.0
2019-01-14,Occhito,6.7
2019-01-15,Occhito,5.4
2019-01-16,Occhito,0.0
2019-01-17,Occhito,0.0
2019-01-18,Occhito,0.0
2019-01-19,Occhito,0.1
2019-01-20,Occhito,0.9
2019-01-21,Occhito,1.5
2019-01-22,Occhito,4.6
2019-01-23,Occhito,0.0
2019-01-24,Occhito,9.0
2019-01-25,Occhito,11.0
2019-01-26,Occhito,0.9
2019-01-27,Occhito,0.0
2019-01-28,Occhito,1.8
2019-01-29,Occhito,1.9
2019-01-30,Occhito,0.9
2019-01-31,Occhito,1.7
2019-02-01,Occhito,5.1
2019-02-02,Occhito,2.8
2019-02-03,Occhito,1.3
2019-02-04,Occhito,15.8
2019-02-05,Occhito,1.5
2019-02-06,Occhito,0.6
2019-02-07,Occhito,0.0
2019-02-08,Occhito,0.0
2019-02-09,Occhito,0.0
2019-02-10,Occhito,0.0
2019-02-11,Occhito,6.4
2019-02-12,Occhito,3.8
2019-02-13,Occhito,0.0
2019-02-14,Occhito,0.0
2019-02-15,Occhito,4.1
2019-02-16,Occhito,0.0
2019-02-17,Occhito,0.0
2019-02-18,Occhito,0.0
2019-02-19,Occhito,0.0
2019-02-20,Occhito,0.0
2019-02-21,Occhito,0.0
2019-02-22,Occhito,0.7
2019-02-23,Occhito,4.0
2019-02-24,Occhito,0.0
2019-02-25,Occhito,2.2
2019-02-26,Occhito,0.0
2019-02-27,Occhito,0.0
2019-02-28,Occhito,0.0
2019-03-01,Occhito,0.1
2019-03-02,Occhito,6.4
2019-03-03,Occhito,0.0
2019-03-04,Occhito,0.0
2019-03-05,Occhito,0.0
2019-03-06,Occhito,0.0
2019-03-07,Occhito,0.0
2019-03-08,Occhito,2.3
2019-03-09,Occhito,0.0
2019-03-10,Occhito,0.0
2019-03-11,Occhito,3.1
2019-03-12,Occhito,11.0
2019-03-13,Occhito,0.1
2019-03-14,Occhito,10.9
2019-03-15,Occhito,0.0
2019-03-16,Occhito,0.0
2019-03-17,Occhito,0.0
2019-03-18,Occhito,0.0
2019-03-19,Occhito,3.5
2019-03-20,Occhito,1.4
2019-03-21,Occhito,0.0
2019-03-22,Occhito,0.0
2019-03-23,Occhito,0.0
2019-03-24,Occhito,0.0
2019-03-25,Occhito,0.0
2019-03-26,Occhito,7.3
2019-03-27,Occhito,2.5
2019-03-28,Occhito,0.6
2019-03-29,Occhito,0.0
2019-03-30,Occhito,0.0
2019-03-31,Occhito,0.0
2019-04-01,Occhito,0.0
2019-04-02,Occhito,0.0
2019-04-03,Occhito,1.3
2019-04-04,Occhito,3.8
2019-04-05,Occhito,0.6
2019-04-06,Occhito,0.0
2019-04-07,Occhito,0.7
2019-04-08,Occhito,5.7
2019-04-09,Occhito,8.0
2019-04-10,Occhito,0.3
2019-04-11,Occhito,2.6
2019-04-12,Occhito,4.5
2019-04-13,Occhito,1.8
2019-04-14,Occhito,9.6
2019-04-15,Occhito,6.7
2019-04-16,Occhito,0.5
2019-04-17,Occhito,0.0
2019-04-18,Occhito,0.0
2019-04-19,Occhito,0.0
2019-04-20,Occhito,0.0
2019-04-21,Occhito,0.0
2019-04-22,Occhito,4.4
2019-04-23,Occhito,0.5
2019-04-24,Occhito,0.0
2019-04-25,Occhito,0.0
2019-04-26,Occhito,0.3
2019-04-27,Occhito,0.3
2019-04-28,Occhito,0.0
2019-04-29,Occhito,14.3
2019-04-30,Occhito,4.0
2019-05-01,Occhito,1.6
2019-05-02,Occhito,0.0
